9780439139601,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,True
9780061120084,To Kill a Mockingbird,Harper Lee,Fiction,True
9780451524935,1984,George Orwell,Dystopian,True
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Classic,True
9780307474278,The Catcher in the Rye,J.D. Salinger,Classic,True
9780385490818,The Alchemist,Paulo Coelho,Fiction,True
9780547928227,The Hobbit,J.R.R. Tolkien,Fantasy,False
9781400033416,Life of Pi,Yann Martel,Adventure,True
9780140449136,Crime and Punishment,Fyodor Dostoevsky,Classic,False
9780140280098,Brave New World,Aldous Huxley,Dystopian,True
9780062315007,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-fiction,True
9780679783268,Pride and Prejudice,Jane Austen,Classic,False
9780307277671,The Road,Cormac McCarthy,Post-Apocalyptic,True
9780060850524,Fahrenheit 451,Ray Bradbury,Dystopian,True
9781503290563,Moby-Dick,Herman Melville,Classic,True
9780345803481,Fifty Shades of Grey,E.L. James,Romance,True
9780747581086,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,True
9781449483186,Milk and Honey,Rupi Kaur,Poetry,False
9780316769488,The Catcher in the Rye,J.D. Salinger,Classic,True
9780061122415,The Book Thief,Markus Zusak,Historical Fiction,True
9780812981605,All the Light We Cannot See,Anthony Doerr,Historical Fiction,False
9780743273565,Of Mice and Men,John Steinbeck,Classic,True
9780385737951,Looking for Alaska,John Green,Young Adult,False
9780143127741,The Night Circus,Erin Morgenstern,Fantasy,True
9780062316097,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,True
9780141033570,Outliers,Malcolm Gladwell,Non-fiction,False
9780142000670,The Kite Runner,Khaled Hosseini,Historical Fiction,True
9780307743657,The Shining,Stephen King,Horror,True
9781501132957,It Ends with Us,Colleen Hoover,Romance,True
9780060838676,Good to Great,Jim Collins,Business,True
9781501132969,Duolingo,Muaz Ismail Mohammed,Romance,True
